Common name,Scientific name,Status,No.,No. Back
Southern Black Flycatcher,Melaenornis pammelaina,,26,3
Pale Flycatcher,Melaenornis pallidus,,22,0
Chat Flycatcher,Melaenornis infuscatus,,9,0
African Grey Flycatcher,Melaenornis microrhynchus,,21,1
Marico Flycatcher,Melaenornis mariquensis,,6,1
Fiscal Flycatcher,Melaenornis silens,,71,7
Silverbird,Empidornis semipartitus,,7,0
Spotted Flycatcher,Muscicapa striata,,1341,354
Mediterranean Flycatcher,Muscicapa tyrrhenica,,69,7
Gambaga Flycatcher,Muscicapa gambagae,,12,1
Grey-streaked Flycatcher,Muscicapa griseisticta,,11,2
Dark-sided Flycatcher,Muscicapa sibirica,,25,1
Asian Brown Flycatcher,Muscicapa dauurica,,127,59
Sulawesi Streaked Flycatcher,Muscicapa sodhii,,0,0
Brown-streaked Flycatcher,Muscicapa williamsoni,,13,0
Ashy-breasted Flycatcher,Muscicapa randi,,0,0
Sumba Brown Flycatcher,Muscicapa segregata,,3,0
Brown-breasted Flycatcher,Muscicapa muttui,,2,0
Ferruginous Flycatcher,Muscicapa ferruginea,,36,9
Ashy Flycatcher,Muscicapa caerulescens,,56,7
Swamp Flycatcher,Muscicapa aquatica,,28,3
Cassin's Flycatcher,Muscicapa cassini,,5,1
Olivaceous Flycatcher,Muscicapa olivascens,,5,0
Chapin's Flycatcher,Muscicapa lendu,,11,0
Itombwe Flycatcher,Muscicapa itombwensis,,0,0
African Dusky Flycatcher,Muscicapa adusta,,74,19
Little Grey Flycatcher,Muscicapa epulata,,3,0
Yellow-footed Flycatcher,Muscicapa sethsmithi,,8,0
Dusky-blue Flycatcher,Muscicapa comitata,,14,1
Tessmann's Flycatcher,Muscicapa tessmanni,,10,0
Sooty Flycatcher,Muscicapa infuscata,,2,0
Ussher's Flycatcher,Muscicapa ussheri,,6,0
Böhm's Flycatcher,Muscicapa boehmi,,4,0
White-gorgeted Flycatcher,Anthipes monileger,,54,6
Rufous-browed Flycatcher,Anthipes solitaris,,61,7
Hainan Blue Flycatcher,Cyornis hainanus,,118,12
Pale Blue Flycatcher,Cyornis unicolor,,96,11
Rück's Blue Flycatcher,Cyornis ruckii,,0,0
Blue-breasted Blue Flycatcher,Cyornis herioti,,8,0
White-bellied Blue Flycatcher,Cyornis pallidipes,,9,1
Pale-chinned Blue Flycatcher,Cyornis poliogenys,,37,3
Hill Blue Flycatcher,Cyornis whitei,,105,32
Javan Blue Flycatcher,Cyornis banyumas,,9,1
Dayak Blue Flycatcher,Cyornis montanus,,13,0
Large Blue Flycatcher,Cyornis magnirostris,,13,0
Palawan Blue Flycatcher,Cyornis lemprieri,,7,4
Tickell's Blue Flycatcher,Cyornis tickelliae,,104,18
Indochinese Blue Flycatcher,Cyornis sumatrensis,,71,11
Sunda Blue Flycatcher,Cyornis caerulatus,,24,1
Bornean Blue Flycatcher,Cyornis superbus,,30,2
Blue-throated Blue Flycatcher,Cyornis rubeculoides,,65,8
Chinese Blue Flycatcher,Cyornis glaucicomans,,29,2
Malaysian Blue Flycatcher,Cyornis turcosus,,25,1
Mangrove Blue Flycatcher,Cyornis rufigastra,,44,1
Tanahjampea Blue Flycatcher,Cyornis djampeanus,,3,0
Sulawesi Blue Flycatcher,Cyornis omissus,,24,0
Timor Blue Flycatcher,Cyornis hyacinthinus,,6,0
Blue-fronted Blue Flycatcher,Cyornis hoevelli,,26,0
Matinan Blue Flycatcher,Cyornis sanfordi,,10,0
White-tailed Flycatcher,Cyornis concretus,,22,0
Flores Jungle Flycatcher,Cyornis oscillans,,3,1
Sumba Jungle Flycatcher,Cyornis stresemanni,,2,0
Brown-chested Jungle Flycatcher,Cyornis brunneatus,,23,3
Nicobar Jungle Flycatcher,Cyornis nicobaricus,,0,0
Fulvous-chested Jungle Flycatcher,Cyornis olivaceus,,31,0
Grey-chested Jungle Flycatcher,Cyornis umbratilis,,69,4
Crocker Jungle Flycatcher,Cyornis ruficrissa,,0,0
Sulu Jungle Flycatcher,Cyornis ocularis,,1,0
Philippine Jungle Flycatcher,Cyornis ruficauda,,2,0
Sula Jungle Flycatcher,Cyornis colonus,,0,0
Banggai Jungle Flycatcher,Cyornis pelingensis,,12,5
Fujian Niltava,Niltava davidi,,8,0
Rufous-bellied Niltava,Niltava sundara,,23,4
Rufous-vented Niltava,Niltava sumatrana,,4,0
Chinese Vivid Niltava,Niltava oatesi,,0,0
Taiwan Vivid Niltava,Niltava vivida,,24,25
Large Niltava,Niltava grandis,,94,39
Small Niltava,Niltava macgrigoriae,,79,14
Blue-and-white Flycatcher,Cyanoptila cyanomelana,,65,517
Zappey's Flycatcher,Cyanoptila cumatilis,,17,0
Dull-blue Flycatcher,Eumyias sordidus,,8,5
Verditer Flycatcher,Eumyias thalassinus,,86,17
Turquoise Flycatcher,Eumyias panayensis,,39,7
Nilgiri Flycatcher,Eumyias albicaudatus,,15,5
Indigo Flycatcher,Eumyias indigo,,31,2
Buru Jungle Flycatcher,Eumyias additus,,1,0
European Robin,Erithacus rubecula,,5467,12854
Red-throated Alethe,Chamaetylas poliophrys,,14,1
Brown-chested Alethe,Chamaetylas poliocephala,,18,1
White-chested Alethe,Chamaetylas fuelleborni,,36,15
Thyolo Alethe,Chamaetylas choloensis,,4,0
White-bellied Robin-Chat,Cossyphicula roberti,,9,1
Mountain Robin-Chat,Cossypha isabellae,,4,5
Archer's Ground Robin,Cossypha archeri,,26,2
Olive-flanked Ground Robin,Cossypha anomala,,77,9
Cape Robin-Chat,Cossypha caffra,,196,175
White-throated Robin-Chat,Cossypha humeralis,,64,15
Angolan Cave Chat,Cossypha ansorgei,,5,1
Grey-winged Robin-Chat,Cossypha polioptera,,18,0
Blue-shouldered Robin-Chat,Cossypha cyanocampter,,40,2
Rüppell's Robin-Chat,Cossypha semirufa,,209,16
White-browed Robin-Chat,Cossypha heuglini,,233,68
Red-capped Robin-Chat,Cossypha natalensis,,96,21
Chorister Robin-Chat,Cossypha dichroa,,68,17
White-headed Robin-Chat,Cossypha heinrichi,,4,0
Snowy-crowned Robin-Chat,Cossypha niveicapilla,,59,10
White-crowned Robin-Chat,Cossypha albicapillus,,26,20
Swynnerton's Robin,Swynnertonia swynnertoni,,64,28
White-starred Robin,Pogonocichla stellata,,73,33
Forest Robin,Stiphrornis erythrothorax,,70,15
Short-tailed Akalat,Sheppardia poensis,,3,1
Bocage's Akalat,Sheppardia bocagei,,7,2
Lowland Akalat,Sheppardia cyornithopsis,,0,0
Equatorial Akalat,Sheppardia aequatorialis,,17,4
Sharpe's Akalat,Sheppardia sharpei,,55,22
East Coast Akalat,Sheppardia gunningi,,23,3
Gabela Akalat,Sheppardia gabela,,8,1
Rubeho Akalat,Sheppardia aurantiithorax,,18,2
Usambara Akalat,Sheppardia montana,,13,0
Iringa Akalat,Sheppardia lowei,,14,3
Collared Palm Thrush,Cichladusa arquata,,28,6
Rufous-tailed Palm Thrush,Cichladusa ruficauda,,12,4
Spotted Palm Thrush,Cichladusa guttata,,142,30
Great Shortwing,Heinrichia calligyna,,22,0
Bagobo Babbler,Leonardina woodi,,16,10
Gould's Shortwing,Heteroxenicus stellatus,,4,0
Rusty-bellied Shortwing,Brachypteryx hyperythra,,14,0
Lesser Shortwing,Brachypteryx leucophris,,175,35
Himalayan Shortwing,Brachypteryx cruralis,,46,2
Chinese Shortwing,Brachypteryx sinensis,,12,1
Taiwan Shortwing,Brachypteryx goodfellowi,,35,31
White-browed Shortwing,Brachypteryx montana,,97,12
Eyebrowed Jungle Flycatcher,Vauriella gularis,,10,0
White-throated Jungle Flycatcher,Vauriella albigularis,,13,0
White-browed Jungle Flycatcher,Vauriella insignis,,1,0
Slaty-backed Jungle Flycatcher,Vauriella goodfellowi,,3,0
Indian Blue Robin,Larvivora brunnea,,84,11
Siberian Blue Robin,Larvivora cyane,,115,24
Rufous-tailed Robin,Larvivora sibilans,,96,22
Rufous-headed Robin,Larvivora ruficeps,,11,0
Ryukyu Robin,Larvivora komadori,,35,12
Okinawa Robin,Larvivora namiyei,,28,0
Japanese Robin,Larvivora akahige,,37,22
Bluethroat,Luscinia svecica,,1103,231
White-bellied Redstart,Luscinia phaenicuroides,,55,9
Thrush Nightingale,Luscinia luscinia,,822,947
Common Nightingale,Luscinia megarhynchos,,2358,2319
White-throated Robin,Irania gutturalis,,34,5
Himalayan Rubythroat,Calliope pectoralis,,33,2
Chinese Rubythroat,Calliope tschebaiewi,,35,0
Siberian Rubythroat,Calliope calliope,,258,46
Firethroat,Calliope pectardens,,26,2
Blackthroat,Calliope obscura,,10,0
White-tailed Robin,Myiomela leucura,,87,52
Sumatran Blue Robin,Myiomela sumatrana,,4,0
Javan Blue Robin,Myiomela diana,,11,2
Nilgiri Blue Robin,Sholicola major,,10,0
White-bellied Blue Robin,Sholicola albiventris,,15,0
White-browed Bush Robin,Tarsiger indicus,,75,81
Rufous-breasted Bush Robin,Tarsiger hyperythrus,,2,0
Collared Bush Robin,Tarsiger johnstoniae,,24,26
Red-flanked Bluetail,Tarsiger cyanurus,,245,75
Himalayan Bluetail,Tarsiger rufilatus,,44,9
Golden Bush Robin,Tarsiger chrysaeus,,45,2
Little Forktail,Enicurus scouleri,,1,0
Sunda Forktail,Enicurus velatus,,8,0
Chestnut-naped Forktail,Enicurus ruficapillus,,16,0
Black-backed Forktail,Enicurus immaculatus,,5,0
Slaty-backed Forktail,Enicurus schistaceus,,37,1
White-crowned Forktail,Enicurus leschenaulti,,79,4
Bornean Forktail,Enicurus borneensis,,9,0
Spotted Forktail,Enicurus maculatus,,12,0
Sri Lanka Whistling Thrush,Myophonus blighi,,14,0
Shiny Whistling Thrush,Myophonus melanurus,,15,1
Javan Whistling Thrush,Myophonus glaucinus,,19,5
Bornean Whistling Thrush,Myophonus borneensis,,14,0
Brown-winged Whistling Thrush,Myophonus castaneus,,1,0
Malayan Whistling Thrush,Myophonus robinsoni,,12,0
Malabar Whistling Thrush,Myophonus horsfieldii,,71,12
Taiwan Whistling Thrush,Myophonus insularis,,29,8
Blue Whistling Thrush,Myophonus caeruleus,,154,18
Blue-fronted Robin,Cinclidium frontale,,18,4
Yellow-rumped Flycatcher,Ficedula zanthopygia,,123,31
Green-backed Flycatcher,Ficedula elisae,,61,4
Narcissus Flycatcher,Ficedula narcissina,,75,969
Ryukyu Flycatcher,Ficedula owstoni,,24,1
Slaty-backed Flycatcher,Ficedula erithacus,,47,3
Mugimaki Flycatcher,Ficedula mugimaki,,66,18
Pygmy Flycatcher,Ficedula hodgsoni,,20,3
Rufous-gorgeted Flycatcher,Ficedula strophiata,,47,7
Sapphire Flycatcher,Ficedula sapphira,,9,0
Ultramarine Flycatcher,Ficedula superciliaris,,36,7
Little Pied Flycatcher,Ficedula westermanni,,96,29
Slaty-blue Flycatcher,Ficedula tricolor,,41,0
Snowy-browed Flycatcher,Ficedula hyperythra,,102,18
Rusty-tailed Flycatcher,Ficedula ruficauda,,14,3
Taiga Flycatcher,Ficedula albicilla,,182,35
Red-breasted Flycatcher,Ficedula parva,,860,160
Kashmir Flycatcher,Ficedula subrubra,,12,0
Semicollared Flycatcher,Ficedula semitorquata,,37,11
European Pied Flycatcher,Ficedula hypoleuca,,1248,569
Collared Flycatcher,Ficedula albicollis,,457,94
Atlas Pied Flycatcher,Ficedula speculigera,,20,21
Tanimbar Flycatcher,Ficedula riedeli,,6,0
Black-and-orange Flycatcher,Ficedula nigrorufa,,9,2
Rufous-chested Flycatcher,Ficedula dumetoria,,49,1
Furtive Flycatcher,Ficedula disposita,,6,0
Palawan Flycatcher,Ficedula platenae,,9,0
Rufous-throated Flycatcher,Ficedula rufigula,,4,0
Cinnamon-chested Flycatcher,Ficedula buruensis,,4,0
Sumba Flycatcher,Ficedula harterti,,6,0
Black-banded Flycatcher,Ficedula timorensis,,12,0
Little Slaty Flycatcher,Ficedula basilanica,,22,0
Cryptic Flycatcher,Ficedula crypta,,4,0
Bundok Flycatcher,Ficedula luzoniensis,,4,0
Lompobattang Flycatcher,Ficedula bonthaina,,10,0
Damar Flycatcher,Ficedula henrici,,18,2
Przevalski's Redstart,Phoenicurus alaschanicus,,8,0
Eversmann's Redstart,Phoenicurus erythronotus,,12,3
Blue-capped Redstart,Phoenicurus coeruleocephala,,22,2
Black Redstart,Phoenicurus ochruros,,1334,831
Common Redstart,Phoenicurus phoenicurus,,1451,621
Hodgson's Redstart,Phoenicurus hodgsoni,,17,4
White-throated Redstart,Phoenicurus schisticeps,,15,0
Daurian Redstart,Phoenicurus auroreus,,137,72
Moussier's Redstart,Phoenicurus moussieri,,26,2
Güldenstädt's Redstart,Phoenicurus erythrogastrus,,30,2
Blue-fronted Redstart,Phoenicurus frontalis,,47,10
Plumbeous Water Redstart,Phoenicurus fuliginosus,,64,4
Luzon Water Redstart,Phoenicurus bicolor,,6,0
White-capped Redstart,Phoenicurus leucocephalus,,23,2
White-winged Cliff Chat,Monticola semirufus,,4,0
Cape Rock Thrush,Monticola rupestris,,44,5
Sentinel Rock Thrush,Monticola explorator,,5,0
Short-toed Rock Thrush,Monticola brevipes,,3,0
Miombo Rock Thrush,Monticola angolensis,,12,1
Common Rock Thrush,Monticola saxatilis,,126,16
Little Rock Thrush,Monticola rufocinereus,,31,1
Blue Rock Thrush,Monticola solitarius,,202,44
Chestnut-bellied Rock Thrush,Monticola rufiventris,,21,1
Blue-capped Rock Thrush,Monticola cinclorhyncha,,19,0
White-throated Rock Thrush,Monticola gularis,,17,2
Littoral Rock Thrush,Monticola imerina,,21,0
Forest Rock Thrush,Monticola sharpei,,26,2
Whinchat,Saxicola rubetra,,584,211
White-browed Bush Chat,Saxicola macrorhynchus,,1,0
White-throated Bush Chat,Saxicola insignis,,7,1
Canary Islands Stonechat,Saxicola dacotiae,,8,0
European Stonechat,Saxicola rubicola,,714,344
Siberian Stonechat,Saxicola maurus,,59,9
Stejneger's Stonechat,Saxicola stejnegeri,,37,9
African Stonechat,Saxicola torquatus,,100,26
Madagascar Stonechat,Saxicola sibilla,,16,5
Reunion Stonechat,Saxicola tectes,,50,27
White-tailed Stonechat,Saxicola leucurus,,7,0
Pied Bush Chat,Saxicola caprata,,124,24
Jerdon's Bush Chat,Saxicola jerdoni,,23,6
Grey Bush Chat,Saxicola ferreus,,71,12
White-bellied Bush Chat,Saxicola gutturalis,,19,2
Buff-streaked Chat,Campicoloides bifasciatus,,12,1
Sickle-winged Chat,Emarginata sinuata,,17,0
Karoo Chat,Emarginata schlegelii,,12,1
Tractrac Chat,Emarginata tractrac,,6,0
Moorland Chat,Pinarochroa sordida,,10,0
Mocking Cliff Chat,Thamnolaea cinnamomeiventris,,64,1
White-crowned Cliff Chat,Thamnolaea coronata,,5,0
Sooty Chat,Myrmecocichla nigra,,18,0
Anteater Chat,Myrmecocichla aethiops,,18,0
Congo Moor Chat,Myrmecocichla tholloni,,0,0
Ant-eating Chat,Myrmecocichla formicivora,,58,4
Rüppell's Black Chat,Myrmecocichla melaena,,6,0
Mountain Wheatear,Myrmecocichla monticola,,25,0
Arnot's Chat,Myrmecocichla arnotti,,30,4
Ruaha Chat,Myrmecocichla collaris,,16,0
Northern Wheatear,Oenanthe oenanthe,,440,38
Atlas Wheatear,Oenanthe seebohmi,,11,0
Capped Wheatear,Oenanthe pileata,,36,0
Red-breasted Wheatear,Oenanthe bottae,,7,0
Heuglin's Wheatear,Oenanthe heuglinii,,1,0
Isabelline Wheatear,Oenanthe isabellina,,148,9
Hooded Wheatear,Oenanthe monacha,,5,0
Desert Wheatear,Oenanthe deserti,,62,10
Western Black-eared Wheatear,Oenanthe hispanica,,93,35
Eastern Black-eared Wheatear,Oenanthe melanoleuca,,50,9
Cyprus Wheatear,Oenanthe cypriaca,,32,10
Pied Wheatear,Oenanthe pleschanka,,76,11
White-fronted Black Chat,Oenanthe albifrons,,4,0
Somali Wheatear,Oenanthe phillipsi,,0,0
Red-rumped Wheatear,Oenanthe moesta,,23,0
Blackstart,Oenanthe melanura,,34,9
Familiar Chat,Oenanthe familiaris,,31,3
Brown-tailed Rock Chat,Oenanthe scotocerca,,16,0
Sombre Rock Chat,Oenanthe dubia,,10,0
Brown Rock Chat,Oenanthe fusca,,18,8
Variable Wheatear,Oenanthe picata,,4,0
Black Wheatear,Oenanthe leucura,,66,6
Abyssinian Wheatear,Oenanthe lugubris,,16,1
White-crowned Wheatear,Oenanthe leucopyga,,40,8
Hume's Wheatear,Oenanthe albonigra,,21,0
Finsch's Wheatear,Oenanthe finschii,,14,1
Maghreb Wheatear,Oenanthe halophila,,1,0
Mourning Wheatear,Oenanthe lugens,,6,0
Basalt Wheatear,Oenanthe warriae,,1,0
Arabian Wheatear,Oenanthe lugentoides,,21,0
Kurdish Wheatear,Oenanthe xanthoprymna,,2,0
Red-tailed Wheatear,Oenanthe chrysopygia,,15,1
Herero Chat,Namibornis herero,,3,0
Humblot's Flycatcher,Humblotia flavirostris,,2,0
White-throated Dipper,Cinclus cinclus,,255,8
Brown Dipper,Cinclus pallasii,,32,1
American Dipper,Cinclus mexicanus,,41,0
White-capped Dipper,Cinclus leucocephalus,,8,0
Rufous-throated Dipper,Cinclus schulzii,,4,0
Philippine Leafbird,Chloropsis flavipennis,,6,0
Yellow-throated Leafbird,Chloropsis palawanensis,,6,0
Greater Green Leafbird,Chloropsis sonnerati,,63,3
Lesser Green Leafbird,Chloropsis cyanopogon,,37,6
Blue-winged Leafbird,Chloropsis moluccensis,,81,4
Javan Leafbird,Chloropsis cochinchinensis,,9,11
Bornean Leafbird,Chloropsis kinabaluensis,,9,0
Jerdon's Leafbird,Chloropsis jerdoni,,16,1
Golden-fronted Leafbird,Chloropsis aurifrons,,70,0
Sumatran Leafbird,Chloropsis media,,1,0
Orange-bellied Leafbird,Chloropsis hardwickii,,98,6
Greyish-crowned Leafbird,Chloropsis lazulina,,25,0
Blue-masked Leafbird,Chloropsis venusta,,1,0
Olive-backed Flowerpecker,Prionochilus olivaceus,,11,1
Yellow-breasted Flowerpecker,Prionochilus maculatus,,37,2
Crimson-breasted Flowerpecker,Prionochilus percussus,,14,0
Palawan Flowerpecker,Prionochilus plateni,,5,1
Yellow-rumped Flowerpecker,Prionochilus xanthopygius,,24,0
Scarlet-breasted Flowerpecker,Prionochilus thoracicus,,15,1
Spectacled Flowerpecker,Dicaeum dayakorum,,2,0
Golden-rumped Flowerpecker,Dicaeum annae,,8,0
Thick-billed Flowerpecker,Dicaeum agile,,24,1
Striped Flowerpecker,Dicaeum aeruginosum,,2,0
Brown-backed Flowerpecker,Dicaeum everetti,,3,0
Whiskered Flowerpecker,Dicaeum proprium,,11,0
Yellow-vented Flowerpecker,Dicaeum chrysorrheum,,18,4
Yellow-bellied Flowerpecker,Dicaeum melanozanthum,,6,0
Legge's Flowerpecker,Dicaeum vincens,,8,0
Yellow-sided Flowerpecker,Dicaeum aureolimbatum,,4,0
Olive-capped Flowerpecker,Dicaeum nigrilore,,4,1
Yellow-crowned Flowerpecker,Dicaeum anthonyi,,2,0
Flame-crowned Flowerpecker,Dicaeum kampalili,,1,0
Bicolored Flowerpecker,Dicaeum bicolor,,9,0
Red-keeled Flowerpecker,Dicaeum australe,,29,7
Black-belted Flowerpecker,Dicaeum haematostictum,,2,0
Scarlet-collared Flowerpecker,Dicaeum retrocinctum,,7,0
Cebu Flowerpecker,Dicaeum quadricolor,,1,0
Orange-bellied Flowerpecker,Dicaeum trigonostigma,,127,34
Buzzing Flowerpecker,Dicaeum hypoleucum,,11,0
Pale-billed Flowerpecker,Dicaeum erythrorhynchos,,75,42
Nilgiri Flowerpecker,Dicaeum concolor,,33,11
Plain Flowerpecker,Dicaeum minullum,,56,17
Andaman Flowerpecker,Dicaeum virescens,,11,4
Pygmy Flowerpecker,Dicaeum pygmaeum,,10,0
Crimson-crowned Flowerpecker,Dicaeum nehrkorni,,10,0
Flame-breasted Flowerpecker,Dicaeum erythrothorax,,1,1
Halmahera Flowerpecker,Dicaeum schistaceiceps,,7,0
Ashy Flowerpecker,Dicaeum vulneratum,,4,0
Olive-crowned Flowerpecker,Dicaeum pectorale,,5,2
Red-capped Flowerpecker,Dicaeum geelvinkianum,,10,5
Louisiade Flowerpecker,Dicaeum nitidum,,2,0
Red-banded Flowerpecker,Dicaeum eximium,,2,0
Midget Flowerpecker,Dicaeum aeneum,,18,1
Mottled Flowerpecker,Dicaeum tristrami,,8,3
Black-fronted Flowerpecker,Dicaeum igniferum,,14,6
Blue-cheeked Flowerpecker,Dicaeum maugei,,19,12
Mistletoebird,Dicaeum hirundinaceum,,90,44
Grey-sided Flowerpecker,Dicaeum celebicum,,8,0
Black-sided Flowerpecker,Dicaeum monticolum,,6,0
Fire-breasted Flowerpecker,Dicaeum ignipectus,,144,33
Blood-breasted Flowerpecker,Dicaeum sanguinolentum,,16,3
Scarlet-backed Flowerpecker,Dicaeum cruentatum,,98,27
Scarlet-headed Flowerpecker,Dicaeum trochileum,,13,3
Ruby-cheeked Sunbird,Chalcoparia singalensis,,49,8
Fraser's Sunbird,Deleornis fraseri,,8,0
Grey-headed Sunbird,Deleornis axillaris,,3,0
Plain-backed Sunbird,Anthreptes reichenowi,,15,0
Anchieta's Sunbird,Anthreptes anchietae,,9,0
Plain Sunbird,Anthreptes simplex,,14,1
Brown-throated Sunbird,Anthreptes malacensis,,126,24
Grey-throated Sunbird,Anthreptes griseigularis,,2,0
Red-throated Sunbird,Anthreptes rhodolaemus,,13,1
Mangrove Sunbird,Anthreptes gabonicus,,10,3
Western Violet-backed Sunbird,Anthreptes longuemarei,,7,0
Eastern Violet-backed Sunbird,Anthreptes orientalis,,21,5
Uluguru Violet-backed Sunbird,Anthreptes neglectus,,1,0
Violet-tailed Sunbird,Anthreptes aurantius,,0,0
Little Green Sunbird,Anthreptes seimundi,,4,5
Yellow-chinned Sunbird,Anthreptes rectirostris,,9,1
Grey-chinned Sunbird,Anthreptes tephrolaemus,,8,2
Banded Green Sunbird,Anthreptes rubritorques,,7,0
Collared Sunbird,Hedydipna collaris,,222,66
Pygmy Sunbird,Hedydipna platura,,20,6
Nile Valley Sunbird,Hedydipna metallica,,30,12
Amani Sunbird,Hedydipna pallidigaster,,6,0
Reichenbach's Sunbird,Anabathmis reichenbachii,,14,1
Principe Sunbird,Anabathmis hartlaubii,,4,4
Newton's Sunbird,Anabathmis newtonii,,14,3
Giant Sunbird,Dreptes thomensis,,16,2
Orange-breasted Sunbird,Anthobaphes violacea,,18,2
Green-headed Sunbird,Cyanomitra verticalis,,28,1
Bannerman's Sunbird,Cyanomitra bannermani,,3,0
Blue-throated Brown Sunbird,Cyanomitra cyanolaema,,21,11
Cameroon Sunbird,Cyanomitra oritis,,6,2
Blue-headed Sunbird,Cyanomitra alinae,,14,0
Olive Sunbird,Cyanomitra olivacea,,296,247
Grey Sunbird,Cyanomitra veroxii,,95,57
Buff-throated Sunbird,Chalcomitra adelberti,,9,2
Carmelite Sunbird,Chalcomitra fuliginosa,,10,0
Green-throated Sunbird,Chalcomitra rubescens,,12,0
Amethyst Sunbird,Chalcomitra amethystina,,66,20
Scarlet-chested Sunbird,Chalcomitra senegalensis,,125,25
Hunter's Sunbird,Chalcomitra hunteri,,10,0
Socotra Sunbird,Chalcomitra balfouri,,3,0
Purple-rumped Sunbird,Leptocoma zeylonica,,81,35
Crimson-backed Sunbird,Leptocoma minima,,36,4
Purple-throated Sunbird,Leptocoma sperata,,18,0
Van Hasselt's Sunbird,Leptocoma brasiliana,,57,8
Black Sunbird,Leptocoma aspasia,,46,5
Copper-throated Sunbird,Leptocoma calcostetha,,30,1
Bocage's Sunbird,Nectarinia bocagii,,2,0
Purple-breasted Sunbird,Nectarinia purpureiventris,,0,0
Tacazze Sunbird,Nectarinia tacazze,,21,5
Bronzy Sunbird,Nectarinia kilimensis,,52,24
Malachite Sunbird,Nectarinia famosa,,75,12
Scarlet-tufted Sunbird,Nectarinia johnstoni,,11,0
Golden-winged Sunbird,Drepanorhynchus reichenowi,,14,1
Olive-bellied Sunbird,Cinnyris chloropygius,,82,38
Tiny Sunbird,Cinnyris minullus,,8,0
Eastern Miombo Sunbird,Cinnyris manoensis,,9,0
Western Miombo Sunbird,Cinnyris gertrudis,,19,1
Southern Double-collared Sunbird,Cinnyris chalybeus,,78,76
Neergaard's Sunbird,Cinnyris neergaardi,,5,0
Rwenzori Double-collared Sunbird,Cinnyris stuhlmanni,,8,0
Whyte's Double-collared Sunbird,Cinnyris whytei,,6,0
Prigogine's Double-collared Sunbird,Cinnyris prigoginei,,0,0
Ludwig's Double-collared Sunbird,Cinnyris ludovicensis,,2,0
Northern Double-collared Sunbird,Cinnyris reichenowi,,58,31
Greater Double-collared Sunbird,Cinnyris afer,,31,6
Regal Sunbird,Cinnyris regius,,22,2
Rockefeller's Sunbird,Cinnyris rockefelleri,,0,0
Eastern Double-collared Sunbird,Cinnyris mediocris,,31,10
Usambara Double-collared Sunbird,Cinnyris usambaricus,,19,0
Forest Double-collared Sunbird,Cinnyris fuelleborni,,8,0
Moreau's Sunbird,Cinnyris moreaui,,48,9
Loveridge's Sunbird,Cinnyris loveridgei,,13,3
Beautiful Sunbird,Cinnyris pulchellus,,61,25
Marico Sunbird,Cinnyris mariquensis,,66,18
Shelley's Sunbird,Cinnyris shelleyi,,3,0
Hofmann's Sunbird,Cinnyris hofmanni,,0,0
Congo Sunbird,Cinnyris congensis,,0,0
Red-chested Sunbird,Cinnyris erythrocercus,,28,4
Black-bellied Sunbird,Cinnyris nectarinioides,,21,2
Purple-banded Sunbird,Cinnyris bifasciatus,,59,6
Tsavo Sunbird,Cinnyris tsavoensis,,11,1
Violet-breasted Sunbird,Cinnyris chalcomelas,,0,0
Pemba Sunbird,Cinnyris pembae,,22,3
Orange-tufted Sunbird,Cinnyris bouvieri,,8,0
Palestine Sunbird,Cinnyris osea,,46,21
Shining Sunbird,Cinnyris habessinicus,,31,4
Splendid Sunbird,Cinnyris coccinigastrus,,64,9
Johanna's Sunbird,Cinnyris johannae,,11,0
Superb Sunbird,Cinnyris superbus,,9,0
Rufous-winged Sunbird,Cinnyris rufipennis,,21,1
Oustalet's Sunbird,Cinnyris oustaleti,,3,0
White-bellied Sunbird,Cinnyris talatala,,87,60
Variable Sunbird,Cinnyris venustus,,162,82
Dusky Sunbird,Cinnyris fuscus,,36,9
Ursula's Sunbird,Cinnyris ursulae,,1,0
Bates's Sunbird,Cinnyris batesi,,10,0
Copper Sunbird,Cinnyris cupreus,,29,3
Purple Sunbird,Cinnyris asiaticus,,183,162
Olive-backed Sunbird,Cinnyris jugularis,,299,110
Apricot-breasted Sunbird,Cinnyris buettikoferi,,5,0
Flame-breasted Sunbird,Cinnyris solaris,,21,5
Souimanga Sunbird,Cinnyris sovimanga,,59,168
Abbott's Sunbird,Cinnyris abbotti,,0,0
Malagasy Green Sunbird,Cinnyris notatus,,25,6
Seychelles Sunbird,Cinnyris dussumieri,,34,17
Humblot's Sunbird,Cinnyris humbloti,,6,2
Anjouan Sunbird,Cinnyris comorensis,,3,3
Mayotte Sunbird,Cinnyris coquerellii,,2,0
Loten's Sunbird,Cinnyris lotenius,,28,4
Grey-hooded Sunbird,Aethopyga primigenia,,4,0
Apo Sunbird,Aethopyga boltoni,,12,0
Lina's Sunbird,Aethopyga linaraborae,,14,0
Flaming Sunbird,Aethopyga flagrans,,2,0
Maroon-naped Sunbird,Aethopyga guimarasensis,,3,0
Metallic-winged Sunbird,Aethopyga pulcherrima,,12,0
Luzon Sunbird,Aethopyga jefferyi,,9,0
Bohol Sunbird,Aethopyga decorosa,,1,0
Elegant Sunbird,Aethopyga duyvenbodei,,4,0
Lovely Sunbird,Aethopyga shelleyi,,10,18
Handsome Sunbird,Aethopyga bella,,16,0
Mrs. Gould's Sunbird,Aethopyga gouldiae,,55,8
